latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight
27.5995,95.3554,328.24,0.52,0.5,2026-09-11,627,N,VIIRS,l,2.0NRT,299.28,11.23,D
27.59978,95.35804,330.38,0.52,0.5,2026-09-11,627,N,VIIRS,l,2.0NRT,300.42,8.12,D
27.76703,96.05153,329.29,0.47,0.48,2026-09-11,627,N,VIIRS,n,2.0NRT,294.37,2.21,D
27.92588,96.77444,327.85,0.42,0.45,2026-09-11,627,N,VIIRS,n,2.0NRT,294.95,2.76,D
27.93463,96.77489,334.01,0.42,0.45,2026-09-11,627,N,VIIRS,n,2.0NRT,294.45,4.73,D
27.95016,95.23589,330.52,0.52,0.5,2026-09-11,627,N,VIIRS,n,2.0NRT,294.75,2.44,D
6.23098,80.86099,340.28,0.42,0.38,2026-09-11,801,N,VIIRS,l,2.0NRT,302.41,5.67,D
6.23561,80.868,335.93,0.42,0.38,2026-09-11,801,N,VIIRS,l,2.0NRT,302.32,6.16,D
6.23848,80.86372,330.2,0.42,0.38,2026-09-11,801,N,VIIRS,l,2.0NRT,301.89,3.23,D
6.32772,80.99232,367.0,0.41,0.37,2026-09-11,801,N,VIIRS,h,2.0NRT,306.14,9.46,D
6.3591,80.94524,334.14,0.42,0.37,2026-09-11,801,N,VIIRS,l,2.0NRT,303.23,4.04,D
6.43032,81.0219,342.04,0.41,0.37,2026-09-11,801,N,VIIRS,n,2.0NRT,304.06,5.1,D
6.45361,80.75334,331.56,0.42,0.38,2026-09-11,801,N,VIIRS,l,2.0NRT,300.6,4.69,D
6.55016,80.87274,335.09,0.42,0.37,2026-09-11,801,N,VIIRS,l,2.0NRT,302.82,6.59,D
6.87345,81.516,332.62,0.4,0.37,2026-09-11,801,N,VIIRS,l,2.0NRT,306.82,3.28,D
6.89327,81.66647,343.25,0.39,0.37,2026-09-11,801,N,VIIRS,l,2.0NRT,311.38,9.06,D
6.89663,81.66595,341.98,0.39,0.37,2026-09-11,801,N,VIIRS,l,2.0NRT,311.66,10.02,D
6.97968,81.59059,334.92,0.4,0.37,2026-09-11,801,N,VIIRS,l,2.0NRT,306.98,4.62,D
7.00834,81.58915,345.32,0.4,0.37,2026-09-11,801,N,VIIRS,n,2.0NRT,306.58,8.77,D
7.04885,81.36258,331.59,0.4,0.37,2026-09-11,801,N,VIIRS,l,2.0NRT,303.0,2.5,D
7.28462,81.12443,335.24,0.4,0.37,2026-09-11,801,N,VIIRS,l,2.0NRT,306.9,5.72,D
7.28845,81.79851,340.97,0.39,0.36,2026-09-11,801,N,VIIRS,n,2.0NRT,305.46,3.59,D
7.29179,81.79798,348.4,0.39,0.36,2026-09-11,801,N,VIIRS,n,2.0NRT,305.89,3.59,D
7.29222,80.90644,350.96,0.41,0.37,2026-09-11,801,N,VIIRS,n,2.0NRT,305.47,9.69,D
7.35999,80.85026,331.7,0.41,0.37,2026-09-11,801,N,VIIRS,n,2.0NRT,299.18,2.58,D
7.39979,81.1692,341.17,0.4,0.37,2026-09-11,801,N,VIIRS,n,2.0NRT,307.69,5.2,D
7.43177,81.0183,340.51,0.41,0.37,2026-09-11,801,N,VIIRS,n,2.0NRT,306.89,4.46,D
7.4521,81.65658,334.81,0.39,0.36,2026-09-11,801,N,VIIRS,l,2.0NRT,304.7,2.95,D
7.45285,81.26469,332.56,0.4,0.37,2026-09-11,801,N,VIIRS,l,2.0NRT,305.13,1.51,D
7.46692,81.26621,334.62,0.4,0.37,2026-09-11,801,N,VIIRS,l,2.0NRT,306.36,1.97,D
