event_id,latitude,longitude,observation_time,satellite,instrument,bright_ti4,bright_ti5,frp,confidence,daynight,status
TH-000001,27.5995,95.3554,2026-09-11 06:27:00,N,VIIRS,328.24,299.28,11.23,l,D,UNCLASSIFIED
TH-000002,27.59978,95.35804,2026-09-11 06:27:00,N,VIIRS,330.38,300.42,8.12,l,D,UNCLASSIFIED
TH-000003,27.76703,96.05153,2026-09-11 06:27:00,N,VIIRS,329.29,294.37,2.21,n,D,UNCLASSIFIED
TH-000004,27.92588,96.77444,2026-09-11 06:27:00,N,VIIRS,327.85,294.95,2.76,n,D,UNCLASSIFIED
TH-000005,27.93463,96.77489,2026-09-11 06:27:00,N,VIIRS,334.01,294.45,4.73,n,D,UNCLASSIFIED
TH-000006,27.95016,95.23589,2026-09-11 06:27:00,N,VIIRS,330.52,294.75,2.44,n,D,UNCLASSIFIED
TH-000007,6.23098,80.86099,2026-09-11 08:01:00,N,VIIRS,340.28,302.41,5.67,l,D,UNCLASSIFIED
TH-000008,6.23561,80.868,2026-09-11 08:01:00,N,VIIRS,335.93,302.32,6.16,l,D,UNCLASSIFIED
TH-000009,6.23848,80.86372,2026-09-11 08:01:00,N,VIIRS,330.2,301.89,3.23,l,D,UNCLASSIFIED
TH-000010,6.32772,80.99232,2026-09-11 08:01:00,N,VIIRS,367.0,306.14,9.46,h,D,UNCLASSIFIED
TH-000011,6.3591,80.94524,2026-09-11 08:01:00,N,VIIRS,334.14,303.23,4.04,l,D,UNCLASSIFIED
TH-000012,6.43032,81.0219,2026-09-11 08:01:00,N,VIIRS,342.04,304.06,5.1,n,D,UNCLASSIFIED
TH-000013,6.45361,80.75334,2026-09-11 08:01:00,N,VIIRS,331.56,300.6,4.69,l,D,UNCLASSIFIED
TH-000014,6.55016,80.87274,2026-09-11 08:01:00,N,VIIRS,335.09,302.82,6.59,l,D,UNCLASSIFIED
TH-000015,6.87345,81.516,2026-09-11 08:01:00,N,VIIRS,332.62,306.82,3.28,l,D,UNCLASSIFIED
TH-000016,6.89327,81.66647,2026-09-11 08:01:00,N,VIIRS,343.25,311.38,9.06,l,D,UNCLASSIFIED
TH-000017,6.89663,81.66595,2026-09-11 08:01:00,N,VIIRS,341.98,311.66,10.02,l,D,UNCLASSIFIED
TH-000018,6.97968,81.59059,2026-09-11 08:01:00,N,VIIRS,334.92,306.98,4.62,l,D,UNCLASSIFIED
TH-000019,7.00834,81.58915,2026-09-11 08:01:00,N,VIIRS,345.32,306.58,8.77,n,D,UNCLASSIFIED
TH-000020,7.04885,81.36258,2026-09-11 08:01:00,N,VIIRS,331.59,303.0,2.5,l,D,UNCLASSIFIED
TH-000021,7.28462,81.12443,2026-09-11 08:01:00,N,VIIRS,335.24,306.9,5.72,l,D,UNCLASSIFIED
TH-000022,7.28845,81.79851,2026-09-11 08:01:00,N,VIIRS,340.97,305.46,3.59,n,D,UNCLASSIFIED
TH-000023,7.29179,81.79798,2026-09-11 08:01:00,N,VIIRS,348.4,305.89,3.59,n,D,UNCLASSIFIED
TH-000024,7.29222,80.90644,2026-09-11 08:01:00,N,VIIRS,350.96,305.47,9.69,n,D,UNCLASSIFIED
TH-000025,7.35999,80.85026,2026-09-11 08:01:00,N,VIIRS,331.7,299.18,2.58,n,D,UNCLASSIFIED
TH-000026,7.39979,81.1692,2026-09-11 08:01:00,N,VIIRS,341.17,307.69,5.2,n,D,UNCLASSIFIED
TH-000027,7.43177,81.0183,2026-09-11 08:01:00,N,VIIRS,340.51,306.89,4.46,n,D,UNCLASSIFIED
TH-000028,7.4521,81.65658,2026-09-11 08:01:00,N,VIIRS,334.81,304.7,2.95,l,D,UNCLASSIFIED
TH-000029,7.45285,81.26469,2026-09-11 08:01:00,N,VIIRS,332.56,305.13,1.51,l,D,UNCLASSIFIED
TH-000030,7.46692,81.26621,2026-09-11 08:01:00,N,VIIRS,334.62,306.36,1.97,l,D,UNCLASSIFIED
TH-000031,7.49562,81.22058,2026-09-11 08:01:00,N,VIIRS,338.41,307.55,4.67,l,D,UNCLASSIFIED
TH-000032,7.499,81.22006,2026-09-11 08:01:00,N,VIIRS,341.23,307.27,4.67,n,D,UNCLASSIFIED
TH-000033,7.50022,81.00719,2026-09-11 08:01:00,N,VIIRS,340.39,309.37,13.75,n,D,UNCLASSIFIED
TH-000034,7.51028,81.56757,2026-09-11 08:01:00,N,VIIRS,336.06,303.96,3.6,l,D,UNCLASSIFIED
TH-000035,7.56389,80.63634,2026-09-11 08:01:00,N,VIIRS,332.02,297.18,2.95,n,D,UNCLASSIFIED
TH-000036,7.60552,80.9675,2026-09-11 08:01:00,N,VIIRS,347.95,306.08,10.24,l,D,UNCLASSIFIED
TH-000037,7.61301,81.01514,2026-09-11 08:01:00,N,VIIRS,333.74,302.04,2.33,l,D,UNCLASSIFIED
TH-000038,7.61714,80.84123,2026-09-11 08:01:00,N,VIIRS,330.79,304.92,4.5,l,D,UNCLASSIFIED
TH-000039,7.71343,80.83015,2026-09-11 08:01:00,N,VIIRS,352.48,308.16,12.23,n,D,UNCLASSIFIED
TH-000040,7.79306,81.22885,2026-09-11 08:01:00,N,VIIRS,347.93,308.0,14.16,n,D,UNCLASSIFIED
TH-000041,7.82195,81.20905,2026-09-11 08:01:00,N,VIIRS,330.55,303.08,2.83,l,D,UNCLASSIFIED
TH-000042,7.82437,80.31818,2026-09-11 08:01:00,N,VIIRS,330.57,298.54,2.96,n,D,UNCLASSIFIED
TH-000043,7.8662,80.01651,2026-09-11 08:01:00,N,VIIRS,350.23,303.58,10.98,l,D,UNCLASSIFIED
TH-000044,7.89431,80.01201,2026-09-11 08:01:00,N,VIIRS,356.38,305.56,24.01,l,D,UNCLASSIFIED
TH-000045,7.9255,81.19964,2026-09-11 08:01:00,N,VIIRS,349.98,308.62,11.34,l,D,UNCLASSIFIED
TH-000046,7.92887,81.1991,2026-09-11 08:01:00,N,VIIRS,352.39,305.79,11.34,l,D,UNCLASSIFIED
TH-000047,7.93462,80.06189,2026-09-11 08:01:00,N,VIIRS,340.51,302.41,3.76,n,D,UNCLASSIFIED
TH-000048,7.95252,80.10713,2026-09-11 08:01:00,N,VIIRS,333.12,304.43,3.17,l,D,UNCLASSIFIED
TH-000049,7.95602,80.10657,2026-09-11 08:01:00,N,VIIRS,333.06,302.4,3.17,l,D,UNCLASSIFIED
TH-000050,7.95865,81.19073,2026-09-11 08:01:00,N,VIIRS,340.02,307.92,5.49,l,D,UNCLASSIFIED
TH-000051,7.96736,80.03738,2026-09-11 08:01:00,N,VIIRS,330.39,304.68,4.65,l,D,UNCLASSIFIED
TH-000052,7.9696,80.02896,2026-09-11 08:01:00,N,VIIRS,332.52,306.69,5.96,l,D,UNCLASSIFIED
TH-000053,7.99013,81.21532,2026-09-11 08:01:00,N,VIIRS,330.13,303.31,1.86,l,D,UNCLASSIFIED
TH-000054,8.02441,81.07615,2026-09-11 08:01:00,N,VIIRS,334.31,303.35,1.4,n,D,UNCLASSIFIED
TH-000055,8.02976,80.57709,2026-09-11 08:01:00,N,VIIRS,332.33,299.18,3.02,l,D,UNCLASSIFIED
TH-000056,8.13688,79.99423,2026-09-11 08:01:00,N,VIIRS,334.1,300.19,4.03,l,D,UNCLASSIFIED
TH-000057,8.1375,79.99817,2026-09-11 08:01:00,N,VIIRS,333.52,300.43,4.32,l,D,UNCLASSIFIED
TH-000058,8.14856,81.34052,2026-09-11 08:01:00,N,VIIRS,350.57,309.71,14.37,n,D,UNCLASSIFIED
TH-000059,8.15112,80.08427,2026-09-11 08:01:00,N,VIIRS,339.28,303.94,11.03,l,D,UNCLASSIFIED
TH-000060,8.20834,79.98703,2026-09-11 08:01:00,N,VIIRS,330.92,303.86,6.63,l,D,UNCLASSIFIED
TH-000061,8.22219,81.02239,2026-09-11 08:01:00,N,VIIRS,333.5,305.01,8.9,l,D,UNCLASSIFIED
TH-000062,8.23207,80.26948,2026-09-11 08:01:00,N,VIIRS,335.58,302.72,2.64,n,D,UNCLASSIFIED
TH-000063,8.29306,80.13734,2026-09-11 08:01:00,N,VIIRS,335.15,304.39,6.55,l,D,UNCLASSIFIED
TH-000064,8.29397,80.13721,2026-09-11 08:01:00,N,VIIRS,338.34,304.61,6.68,l,D,UNCLASSIFIED
TH-000065,8.29414,80.21237,2026-09-11 08:01:00,N,VIIRS,340.62,305.1,5.4,n,D,UNCLASSIFIED
TH-000066,8.29746,80.13666,2026-09-11 08:01:00,N,VIIRS,337.35,305.64,7.6,l,D,UNCLASSIFIED
TH-000067,8.29808,80.14052,2026-09-11 08:01:00,N,VIIRS,334.76,302.53,8.29,l,D,UNCLASSIFIED
TH-000068,8.30266,77.63816,2026-09-11 08:01:00,N,VIIRS,339.74,306.69,6.52,n,D,UNCLASSIFIED
TH-000069,8.30716,80.17469,2026-09-11 08:01:00,N,VIIRS,336.3,303.52,5.12,l,D,UNCLASSIFIED
TH-000070,8.31788,80.3184,2026-09-11 08:01:00,N,VIIRS,340.09,305.3,4.56,n,D,UNCLASSIFIED
TH-000071,8.31956,80.318,2026-09-11 08:01:00,N,VIIRS,337.92,304.3,4.19,n,D,UNCLASSIFIED
TH-000072,8.33641,80.40082,2026-09-11 08:01:00,N,VIIRS,348.73,306.09,15.22,n,D,UNCLASSIFIED
TH-000073,8.34312,80.37651,2026-09-11 08:01:00,N,VIIRS,331.32,302.2,2.73,l,D,UNCLASSIFIED
TH-000074,8.36264,80.8055,2026-09-11 08:01:00,N,VIIRS,343.18,302.36,8.12,n,D,UNCLASSIFIED
TH-000075,8.37158,80.75124,2026-09-11 08:01:00,N,VIIRS,339.8,303.14,2.94,n,D,UNCLASSIFIED
TH-000076,8.37283,80.80388,2026-09-11 08:01:00,N,VIIRS,334.55,304.24,5.02,l,D,UNCLASSIFIED
TH-000077,8.38194,80.42064,2026-09-11 08:01:00,N,VIIRS,342.58,305.42,6.01,n,D,UNCLASSIFIED
TH-000078,8.3827,80.4476,2026-09-11 08:01:00,N,VIIRS,336.19,302.4,9.25,l,D,UNCLASSIFIED
TH-000079,8.39982,80.53334,2026-09-11 08:01:00,N,VIIRS,343.33,303.19,5.51,n,D,UNCLASSIFIED
TH-000080,8.40384,80.33569,2026-09-11 08:01:00,N,VIIRS,335.28,300.08,2.95,n,D,UNCLASSIFIED
TH-000081,8.42157,80.53754,2026-09-11 08:01:00,N,VIIRS,338.26,303.11,3.49,l,D,UNCLASSIFIED
TH-000082,8.42381,80.52951,2026-09-11 08:01:00,N,VIIRS,340.72,306.3,7.21,l,D,UNCLASSIFIED
TH-000083,8.47301,80.75362,2026-09-11 08:01:00,N,VIIRS,334.21,305.83,3.54,l,D,UNCLASSIFIED
TH-000084,8.47641,80.75307,2026-09-11 08:01:00,N,VIIRS,337.22,305.28,3.54,l,D,UNCLASSIFIED
TH-000085,8.48565,80.52334,2026-09-11 08:01:00,N,VIIRS,331.03,299.19,2.29,l,D,UNCLASSIFIED
TH-000086,8.49105,80.13333,2026-09-11 08:01:00,N,VIIRS,333.92,302.95,9.01,l,D,UNCLASSIFIED
TH-000087,8.49392,80.12891,2026-09-11 08:01:00,N,VIIRS,332.86,301.85,2.45,l,D,UNCLASSIFIED
TH-000088,8.5069,80.7668,2026-09-11 08:01:00,N,VIIRS,334.95,306.06,4.02,l,D,UNCLASSIFIED
TH-000089,8.50874,80.17788,2026-09-11 08:01:00,N,VIIRS,332.71,307.19,7.63,l,D,UNCLASSIFIED
TH-000090,8.51221,80.17732,2026-09-11 08:01:00,N,VIIRS,341.24,304.78,6.13,l,D,UNCLASSIFIED
TH-000091,8.58726,80.3494,2026-09-11 08:01:00,N,VIIRS,333.52,305.25,4.77,l,D,UNCLASSIFIED
TH-000092,8.61787,80.4757,2026-09-11 08:01:00,N,VIIRS,333.68,305.79,5.99,l,D,UNCLASSIFIED
TH-000093,8.61995,78.07992,2026-09-11 08:01:00,N,VIIRS,330.34,302.72,4.45,l,D,UNCLASSIFIED
TH-000094,8.64889,81.00204,2026-09-11 08:01:00,N,VIIRS,334.53,304.04,5.13,l,D,UNCLASSIFIED
TH-000095,8.68756,80.91789,2026-09-11 08:01:00,N,VIIRS,340.72,303.61,5.86,l,D,UNCLASSIFIED
TH-000096,8.71449,80.17688,2026-09-11 08:01:00,N,VIIRS,338.27,302.39,4.68,l,D,UNCLASSIFIED
TH-000097,8.72995,77.52225,2026-09-11 08:01:00,N,VIIRS,334.04,297.74,3.73,n,D,UNCLASSIFIED
TH-000098,8.77848,77.56741,2026-09-11 08:01:00,N,VIIRS,338.43,300.49,2.92,n,D,UNCLASSIFIED
TH-000099,8.92184,77.48255,2026-09-11 08:01:00,N,VIIRS,331.84,297.5,8.51,n,D,UNCLASSIFIED
TH-000100,8.96205,80.7947,2026-09-11 08:01:00,N,VIIRS,332.62,303.5,8.02,l,D,UNCLASSIFIED
TH-000101,8.97476,80.89706,2026-09-11 08:01:00,N,VIIRS,337.02,300.7,8.49,n,D,UNCLASSIFIED
TH-000102,9.38751,80.61357,2026-09-11 08:01:00,N,VIIRS,339.15,298.09,8.08,l,D,UNCLASSIFIED
TH-000103,18.21146,74.44026,2026-09-11 08:03:00,N,VIIRS,330.24,298.3,5.36,n,D,UNCLASSIFIED
TH-000104,18.26146,75.48334,2026-09-11 08:03:00,N,VIIRS,335.52,300.47,5.57,n,D,UNCLASSIFIED
TH-000105,18.69317,73.04006,2026-09-11 08:03:00,N,VIIRS,329.01,294.1,4.98,n,D,UNCLASSIFIED
TH-000106,21.1033,72.63795,2026-09-11 08:05:00,N,VIIRS,337.6,295.6,5.89,n,D,UNCLASSIFIED
TH-000107,21.10511,72.64705,2026-09-11 08:05:00,N,VIIRS,344.32,297.72,9.15,n,D,UNCLASSIFIED
TH-000108,21.1883,81.39214,2026-09-11 08:05:00,N,VIIRS,331.0,295.11,5.07,n,D,UNCLASSIFIED
TH-000109,21.92127,83.3507,2026-09-11 08:05:00,N,VIIRS,340.46,296.01,9.06,n,D,UNCLASSIFIED
TH-000110,23.16489,82.34189,2026-09-11 08:05:00,N,VIIRS,332.83,292.37,6.1,n,D,UNCLASSIFIED
TH-000111,26.77685,90.32755,2026-09-11 08:05:00,N,VIIRS,332.52,291.5,3.91,n,D,UNCLASSIFIED
TH-000112,26.77699,90.32763,2026-09-11 08:05:00,N,VIIRS,331.36,291.43,2.81,n,D,UNCLASSIFIED
TH-000113,25.27196,69.08585,2026-09-11 08:07:00,N,VIIRS,340.6,302.6,3.64,n,D,UNCLASSIFIED
TH-000114,25.71746,68.85942,2026-09-11 08:07:00,N,VIIRS,367.0,307.76,14.77,h,D,UNCLASSIFIED
TH-000115,25.71819,68.86267,2026-09-11 08:07:00,N,VIIRS,331.61,302.36,11.22,n,D,UNCLASSIFIED
TH-000116,25.86803,68.93196,2026-09-11 08:07:00,N,VIIRS,367.0,305.35,7.12,h,D,UNCLASSIFIED
TH-000117,25.86876,68.93517,2026-09-11 08:07:00,N,VIIRS,344.54,304.8,8.03,n,D,UNCLASSIFIED
TH-000118,25.86924,68.93317,2026-09-11 08:07:00,N,VIIRS,367.0,306.44,7.52,h,D,UNCLASSIFIED
TH-000119,26.95863,68.40443,2026-09-11 08:07:00,N,VIIRS,336.38,308.41,2.82,l,D,UNCLASSIFIED
TH-000120,27.63409,68.3868,2026-09-11 08:07:00,N,VIIRS,355.68,307.0,5.17,n,D,UNCLASSIFIED
TH-000121,27.63629,68.39639,2026-09-11 08:07:00,N,VIIRS,343.12,305.53,2.22,n,D,UNCLASSIFIED
TH-000122,27.63903,68.38539,2026-09-11 08:07:00,N,VIIRS,367.0,305.86,6.07,h,D,UNCLASSIFIED
TH-000123,28.05176,69.36261,2026-09-11 08:07:00,N,VIIRS,336.11,307.66,5.06,n,D,UNCLASSIFIED
TH-000124,28.05294,69.36815,2026-09-11 08:07:00,N,VIIRS,344.23,309.87,5.06,n,D,UNCLASSIFIED
TH-000125,29.13163,75.77078,2026-09-11 08:07:00,N,VIIRS,331.51,305.14,3.84,l,D,UNCLASSIFIED
TH-000126,30.48006,73.87495,2026-09-11 08:07:00,N,VIIRS,331.99,306.6,2.48,l,D,UNCLASSIFIED
TH-000127,30.72791,76.34161,2026-09-11 08:07:00,N,VIIRS,333.5,296.18,1.3,n,D,UNCLASSIFIED
TH-000128,30.87024,70.64391,2026-09-11 08:07:00,N,VIIRS,346.0,306.81,6.05,n,D,UNCLASSIFIED
TH-000129,30.87769,75.94084,2026-09-11 08:07:00,N,VIIRS,344.92,302.48,3.0,n,D,UNCLASSIFIED
TH-000130,30.98912,74.20541,2026-09-11 08:07:00,N,VIIRS,336.52,304.31,3.03,n,D,UNCLASSIFIED
TH-000131,31.25864,74.47987,2026-09-11 08:07:00,N,VIIRS,333.68,301.87,2.36,n,D,UNCLASSIFIED
TH-000132,31.45933,74.51919,2026-09-11 08:07:00,N,VIIRS,335.67,302.05,2.97,n,D,UNCLASSIFIED
TH-000133,31.59567,74.82895,2026-09-11 08:07:00,N,VIIRS,333.66,305.54,2.21,n,D,UNCLASSIFIED
TH-000134,31.74919,74.49052,2026-09-11 08:07:00,N,VIIRS,339.55,304.61,5.09,n,D,UNCLASSIFIED
TH-000135,31.78289,75.174,2026-09-11 08:07:00,N,VIIRS,335.78,300.83,3.43,n,D,UNCLASSIFIED
TH-000136,31.86762,75.00837,2026-09-11 08:07:00,N,VIIRS,343.03,301.46,5.58,n,D,UNCLASSIFIED
