event_id,latitude,longitude,observation_time,satellite,instrument,bright_ti4,bright_ti5,frp,confidence,daynight,status,distance_to_industry_km,anomaly_prediction,anomaly_score,is_anomalous,location_group,location_observation_count,location_avg_frp,persistent_activity,frp_change_percent,escalation_flag,evidence,observation_reliability,reliability_label
TH-000001,27.5995,95.3554,2026-09-11 06:27:00,N,VIIRS,328.24,299.28,11.23,l,D,UNCLASSIFIED,,-1,-0.0452798629491357,True,27.6_95.36,2,9.675,False,16.07235142118863,False,Unusual thermal behaviour,55,PARTIAL
TH-000002,27.59978,95.35804,2026-09-11 06:27:00,N,VIIRS,330.38,300.42,8.12,l,D,UNCLASSIFIED,,1,0.0722185002201516,False,27.6_95.36,2,9.675,False,-16.072351421188642,False,Limited supporting evidence,55,PARTIAL
TH-000003,27.76703,96.05153,2026-09-11 06:27:00,N,VIIRS,329.29,294.37,2.21,n,D,UNCLASSIFIED,,1,0.0297513944974492,False,27.77_96.05,1,2.21,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000004,27.92588,96.77444,2026-09-11 06:27:00,N,VIIRS,327.85,294.95,2.76,n,D,UNCLASSIFIED,,1,0.0086573784728807,False,27.93_96.77,2,3.745,False,-26.30173564753005,False,Limited supporting evidence,70,PARTIAL
TH-000005,27.93463,96.77489,2026-09-11 06:27:00,N,VIIRS,334.01,294.45,4.73,n,D,UNCLASSIFIED,,1,0.062613303061337,False,27.93_96.77,2,3.745,False,26.30173564753005,False,Limited supporting evidence,70,PARTIAL
TH-000006,27.95016,95.23589,2026-09-11 06:27:00,N,VIIRS,330.52,294.75,2.44,n,D,UNCLASSIFIED,,1,0.0565879815835864,False,27.95_95.24,1,2.44,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000077,8.38194,80.42064,2026-09-11 08:01:00,N,VIIRS,342.58,305.42,6.01,n,D,UNCLASSIFIED,0.6957304070721687,-1,-0.0407031488397494,True,8.38_80.42,1,6.01,False,0.0,False,Unusual thermal behaviour | Very close to mapped industrial activity,90,GOOD
TH-000076,8.37283,80.80388,2026-09-11 08:01:00,N,VIIRS,334.55,304.24,5.02,l,D,UNCLASSIFIED,,1,0.1483539151356751,False,8.37_80.8,1,5.02,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000075,8.37158,80.75124,2026-09-11 08:01:00,N,VIIRS,339.8,303.14,2.94,n,D,UNCLASSIFIED,,1,0.1261473722375573,False,8.37_80.75,1,2.94,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000074,8.36264,80.8055,2026-09-11 08:01:00,N,VIIRS,343.18,302.36,8.12,n,D,UNCLASSIFIED,,1,0.0983457020893693,False,8.36_80.81,1,8.12,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000073,8.34312,80.37651,2026-09-11 08:01:00,N,VIIRS,331.32,302.2,2.73,l,D,UNCLASSIFIED,2.118143615369139,1,0.0523938788366292,False,8.34_80.38,1,2.73,False,0.0,False,Industrial activity detected nearby,75,GOOD
TH-000072,8.33641,80.40082,2026-09-11 08:01:00,N,VIIRS,348.73,306.09,15.22,n,D,UNCLASSIFIED,2.036457496570649,-1,-0.0928053540959773,True,8.34_80.4,1,15.22,False,0.0,False,Unusual thermal behaviour | Industrial activity detected nearby,90,GOOD
TH-000071,8.31956,80.318,2026-09-11 08:01:00,N,VIIRS,337.92,304.3,4.19,n,D,UNCLASSIFIED,,1,0.1404291865408383,False,8.32_80.32,2,4.375,False,-4.22857142857142,False,Limited supporting evidence,70,PARTIAL
TH-000069,8.30716,80.17469,2026-09-11 08:01:00,N,VIIRS,336.3,303.52,5.12,l,D,UNCLASSIFIED,,1,0.1489862863862797,False,8.31_80.17,1,5.12,False,0.0,False,Limited supporting evidence,55,PARTIAL
TH-000068,8.30266,77.63816,2026-09-11 08:01:00,N,VIIRS,339.74,306.69,6.52,n,D,UNCLASSIFIED,,1,0.1204631284222105,False,8.3_77.64,1,6.52,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000067,8.29808,80.14052,2026-09-11 08:01:00,N,VIIRS,334.76,302.53,8.29,l,D,UNCLASSIFIED,,1,0.1156212932114859,False,8.3_80.14,2,7.944999999999999,False,4.342353681560727,False,Limited supporting evidence,55,PARTIAL
TH-000064,8.29397,80.13721,2026-09-11 08:01:00,N,VIIRS,338.34,304.61,6.68,l,D,UNCLASSIFIED,,1,0.1344471241158515,False,8.29_80.14,2,6.615,False,0.9826152683295464,False,Limited supporting evidence,55,PARTIAL
TH-000065,8.29414,80.21237,2026-09-11 08:01:00,N,VIIRS,340.62,305.1,5.4,n,D,UNCLASSIFIED,,1,0.1400213215918879,False,8.29_80.21,1,5.4,False,0.0,False,Limited supporting evidence,70,PARTIAL
TH-000078,8.3827,80.4476,2026-09-11 08:01:00,N,VIIRS,336.19,302.4,9.25,l,D,UNCLASSIFIED,1.9597110776261064,1,0.0051027086807594,False,8.38_80.45,1,9.25,False,0.0,False,Industrial activity detected nearby,75,GOOD
TH-000063,8.29306,80.13734,2026-09-11 08:01:00,N,VIIRS,335.15,304.39,6.55,l,D,UNCLASSIFIED,,1,0.1381974233615496,False,8.29_80.14,2,6.615,False,-0.9826152683295598,False,Limited supporting evidence,55,PARTIAL
