event_id,latitude,longitude,observation_time,satellite,instrument,bright_ti4,bright_ti5,frp,confidence,daynight,status,distance_to_industry_km,anomaly_prediction,anomaly_score,is_anomalous,anomaly_risk,proximity_risk,risk_score,risk_level
TH-000001,27.5995,95.3554,2026-09-11 06:27:00,N,VIIRS,328.24,299.28,11.23,l,D,UNCLASSIFIED,,-1,-0.0452798629491357,True,60.752832370988386,0,36.45169942259303,MEDIUM
TH-000002,27.59978,95.35804,2026-09-11 06:27:00,N,VIIRS,330.38,300.42,8.12,l,D,UNCLASSIFIED,,1,0.0722185002201516,False,24.101684613280398,0,14.461010767968238,LOW
TH-000003,27.76703,96.05153,2026-09-11 06:27:00,N,VIIRS,329.29,294.37,2.21,n,D,UNCLASSIFIED,,1,0.0297513944974492,False,37.34840673520877,0,22.40904404112526,LOW
TH-000004,27.92588,96.77444,2026-09-11 06:27:00,N,VIIRS,327.85,294.95,2.76,n,D,UNCLASSIFIED,,1,0.0086573784728807,False,43.92824220922331,0,26.35694532553399,MEDIUM
TH-000005,27.93463,96.77489,2026-09-11 06:27:00,N,VIIRS,334.01,294.45,4.73,n,D,UNCLASSIFIED,,1,0.062613303061337,False,27.0978242259014,0,16.25869453554084,LOW
TH-000006,27.95016,95.23589,2026-09-11 06:27:00,N,VIIRS,330.52,294.75,2.44,n,D,UNCLASSIFIED,,1,0.0565879815835864,False,28.977296771834304,0,17.386378063100583,LOW
TH-000007,6.23098,80.86099,2026-09-11 08:01:00,N,VIIRS,340.28,302.41,5.67,l,D,UNCLASSIFIED,,1,0.133433437352315,False,5.006970054770051,0,3.00418203286203,LOW
TH-000008,6.23561,80.868,2026-09-11 08:01:00,N,VIIRS,335.93,302.32,6.16,l,D,UNCLASSIFIED,,1,0.1354986984956884,False,4.362755196942845,0,2.617653118165707,LOW
TH-000009,6.23848,80.86372,2026-09-11 08:01:00,N,VIIRS,330.2,301.89,3.23,l,D,UNCLASSIFIED,,1,0.1174516561067428,False,9.992151210178193,0,5.995290726106916,LOW
TH-000010,6.32772,80.99232,2026-09-11 08:01:00,N,VIIRS,367.0,306.14,9.46,h,D,UNCLASSIFIED,,-1,-0.0265881301910493,True,54.922338731028596,0,32.953403238617156,MEDIUM
TH-000011,6.3591,80.94524,2026-09-11 08:01:00,N,VIIRS,334.14,303.23,4.04,l,D,UNCLASSIFIED,4.091368785066722,1,0.0476365431904669,False,31.769510061797813,20,27.061706037078686,MEDIUM
TH-000012,6.43032,81.0219,2026-09-11 08:01:00,N,VIIRS,342.04,304.06,5.1,n,D,UNCLASSIFIED,,1,0.1311930667692823,False,5.705806626241685,0,3.423483975745011,LOW
